Rxn ID,EC Number
rxn10139,Undetermined
rxn10588,Undetermined
rxn10609,Undetermined
rxn11729,4.1.2.42
rxn11943,2.6.1.21
rxn11945,1.3.3.-
rxn11964,1.2.3.7
rxn12263,Undetermined
rxn12264,Undetermined
rxn12288,Undetermined
rxn12739,1.5.99.2
rxn12772,Undetermined
rxn12776,Undetermined
rxn12854,Undetermined
rxn13226,Undetermined
rxn13770,Undetermined
rxn14036,1.20.98.1
rxn14209,1.14.13.-
rxn14229,1.1.5.3
rxn14299,1.3.5.2
rxn14396,1.5.7.1
rxn05247,6.2.1.3
rxn05250,6.2.1.3
rxn05408,2.3.1.0
rxn05409,2.3.1.0
rxn05410,1.1.1.0
rxn05411,4.2.1.0
rxn05412,1.3.1.0
rxn05413,2.3.1.0
rxn05414,1.1.1.0
rxn05415,4.2.1.0
rxn05416,1.3.1.0
rxn05417,2.3.1.0
rxn05418,1.1.1.0
rxn05419,4.2.1.0
rxn05420,1.3.1.0
rxn05421,2.3.1.0
rxn05422,1.1.1.0
rxn05423,4.2.1.0
rxn05424,1.3.1.0
rxn05425,2.3.1.0
rxn05426,1.1.1.0
rxn05427,4.2.1.0
rxn05428,1.3.1.0
rxn05429,2.3.1.0
rxn05430,1.1.1.0
rxn05431,4.2.1.0
rxn05432,1.3.1.0
rxn05445,1.3.1.0
rxn05446,1.3.1.0
rxn05447,1.3.1.0
rxn05448,1.3.1.0
rxn05449,1.3.1.0
rxn05450,1.3.1.0
rxn05455,2.3.1.0
rxn05456,2.3.1.0
rxn10207,2.3.1.15
rxn10210,2.3.1.15
rxn10216,2.3.1.51
rxn10219,2.3.1.51
rxn10222,2.7.7.41
rxn10225,2.7.7.41
rxn10228,2.7.8.8
rxn10231,2.7.8.8
rxn10234,4.1.1.65
rxn10237,4.1.1.65
rxn10255,2.7.1.107
rxn10258,2.7.1.107
rxn10261,2.7.8.5
rxn10264,2.7.8.5
rxn10267,3.1.3.27
rxn10270,3.1.3.27
rxn10339,Undetermined
rxn10342,Undetermined
rxn10276,Undetermined
rxn10279,Undetermined
rxn10285,Undetermined
rxn10288,Undetermined
rxn10294,2.7.8.12
rxn10297,2.7.8.12
rxn10303,2.4.1.52
rxn10306,2.4.1.52
rxn10312,2.7.8.-
rxn10315,2.7.8.-
rxn10321,Undetermined
rxn10324,Undetermined
rxn05453,2.3.1.0
rxn05249,6.2.1.3
rxn10208,2.3.1.15
rxn10217,2.3.1.51
rxn10223,2.7.7.41
rxn10229,2.7.8.8
rxn10235,4.1.1.65
rxn10256,2.7.1.107
rxn10262,2.7.8.5
rxn10268,3.1.3.27
rxn10340,Undetermined
rxn10277,Undetermined
rxn10286,Undetermined
rxn10295,2.7.8.12
rxn10304,2.4.1.52
rxn10313,2.7.8.-
rxn10322,Undetermined
rxn05451,2.3.1.0
rxn05248,6.2.1.3
rxn10209,2.3.1.15
rxn10218,2.3.1.51
rxn10224,2.7.7.41
rxn10230,2.7.8.8
rxn10236,4.1.1.65
rxn10257,2.7.1.107
rxn10263,2.7.8.5
rxn10269,3.1.3.27
rxn10341,Undetermined
rxn10278,Undetermined
rxn10287,Undetermined
rxn10296,2.7.8.12
rxn10305,2.4.1.52
rxn10314,2.7.8.-
rxn10323,Undetermined
rxn02277,6.3.3.3
rxn02296,6.2.1.14
rxn02297,2.3.1.47
rxn02312,2.6.1.62
rxn08180,2.8.1.6
rxn04704,1.3.99.22
rxn08295,2.7.1.107
rxn10272,Undetermined
rxn10281,Undetermined
rxn10290,2.7.8.12
rxn10299,2.4.1.52
rxn10308,2.7.8.-
rxn10317,Undetermined
rxn08297,2.7.1.107
rxn10271,Undetermined
rxn10280,Undetermined
rxn10289,2.7.8.12
rxn10298,2.4.1.52
rxn10307,2.7.8.-
rxn10316,Undetermined
rxn02431,2.3.1.101
rxn03085,1.5.99.11
rxn11938,1.2.99.5
rxn03079,1.5.99.9
rxn02480,3.5.4.27
rxn02363,1.14.13.3
rxn02366,1.13.11.15
rxn03040,5.3.3.10
rxn03055,1.2.1.45
rxn01945,1.14.13.3
rxn10559,Undetermined
rxn04673,2.5.1.-
rxn04674,2.1.1.-
rxn04158,Undetermined
rxn04160,1.18.-.-
rxn04161,2.5.1.62
rxn00074,1.16.1.4
rxn05515,Undetermined
rxn08194,2.5.1.17
