Rxn ID,EC Number
rxn05350,2.3.1.41
rxn05351,1.3.1.10
rxn05352,1.3.1.10
rxn05353,1.3.1.10
rxn05354,1.3.1.10
rxn05355,1.3.1.10
rxn05356,1.3.1.10
rxn05357,1.3.1.10
rxn05358,2.3.1.0
rxn05359,2.3.1.0
rxn05360,1.1.1.0
rxn05361,4.2.1.0
rxn05362,1.3.1.0
rxn05363,2.3.1.0
rxn05364,1.1.1.0
rxn05365,4.2.1.0
rxn05366,1.3.1.0
rxn05367,2.3.1.0
rxn05368,1.1.1.0
rxn05369,4.2.1.0
rxn05370,1.3.1.0
rxn05371,2.3.1.0
rxn05372,1.1.1.0
rxn05373,4.2.1.0
rxn05374,1.3.1.0
rxn05375,2.3.1.0
rxn05376,1.1.1.0
rxn05377,4.2.1.0
rxn05378,1.3.1.0
rxn05379,2.3.1.0
rxn05380,1.1.1.0
rxn05381,4.2.1.0
rxn05382,1.3.1.0
rxn05383,2.3.1.0
rxn05384,2.3.1.0
rxn05385,1.1.1.0
rxn05386,4.2.1.0
rxn05387,1.3.1.0
rxn05388,2.3.1.0
rxn05389,1.1.1.0
rxn05390,4.2.1.0
rxn05391,1.3.1.0
rxn05392,2.3.1.0
rxn05393,1.1.1.0
rxn05394,4.2.1.0
rxn05395,1.3.1.0
rxn05396,2.3.1.0
rxn05397,1.1.1.0
rxn05398,4.2.1.0
rxn05399,1.3.1.0
rxn05400,2.3.1.0
rxn05401,1.1.1.0
rxn05402,4.2.1.0
rxn05403,1.3.1.0
rxn05404,2.3.1.0
rxn05405,1.1.1.0
rxn05406,4.2.1.0
rxn05407,1.3.1.0
rxn05433,1.3.1.0
rxn05434,1.3.1.0
rxn05435,1.3.1.0
rxn05436,1.3.1.0
rxn05437,1.3.1.0
rxn05438,1.3.1.0
rxn05439,1.3.1.0
rxn05440,1.3.1.0
rxn05441,1.3.1.0
rxn05442,1.3.1.0
rxn05443,1.3.1.0
rxn05444,1.3.1.0
rxn05452,2.3.1.0
rxn05454,2.3.1.0
rxn05457,2.3.1.1
rxn05458,2.3.1.2
rxn05459,2.3.1.3
rxn05460,2.3.1.0
rxn05461,1.1.1.0
rxn05462,4.2.1.0
rxn05463,1.3.1.0
rxn05464,1.3.1.0
rxn05465,2.3.1.0
rxn06022,3.1.4.14
rxn06023,2.7.8.7
rxn06672,6.3.4.14
rxn06673,6.4.1.2
rxn05732,1.3.99.3
rxn05736,6.2.1.3
rxn09449,6.2.1.3
rxn10010,1.3.99.3
rxn10011,1.3.99.3
rxn10012,1.3.99.3
rxn10013,1.3.99.3
rxn10014,1.3.99.3
rxn10161,Undetermined
rxn10162,Undetermined
rxn10163,Undetermined
rxn01057,5.1.2.1
rxn08783,1.1.2.4
rxn08792,1.1.2.3
rxn08793,1.1.2.3
rxn00499,1.1.1.27
rxn00500,1.1.1.28
rxn00548,4.1.2.9
rxn01187,4.1.2.9
rxn00171,1.2.1.10
rxn00225,2.7.2.1
rxn00251,4.1.1.31
rxn00301,3.6.1.8
rxn00463,3.6.1.8
rxn00686,1.5.1.3
rxn00690,3.5.4.9
rxn00692,2.1.2.1
rxn00907,1.5.1.5
rxn01257,2.6.1.85
rxn01351,3.6.1.19
rxn01521,3.1.3.5
rxn01602,1.5.1.3
rxn01603,6.3.2.12
rxn02200,2.5.1.15
rxn02201,2.5.1.15
rxn02503,2.7.6.3
rxn02504,4.1.2.25
rxn03167,3.1.3.1
rxn03168,3.6.1.-
rxn03173,3.6.1.-
rxn03841,4.1.3.38
rxn00552,3.5.99.6
rxn00555,2.6.1.16
rxn00558,5.3.1.9
rxn00604,1.1.1.49
rxn00786,4.1.2.13
rxn01115,1.1.1.44
rxn01477,4.2.1.12
rxn02380,5.3.1.9
rxn03884,4.1.2.14
rxn00371,1.2.1.2
rxn10114,1.2.2.1
rxn10118,1.18.99.1
rxn00817,3.2.1.20
rxn00818,3.2.1.22
rxn05147,Undetermined
rxn05170,3.A.1.1
rxn05173,3.A.1.2
rxn01492,2.7.1.56
rxn05560,Undetermined
rxn01870,4.1.2.13
rxn00194,4.1.1.15
rxn00509,1.2.1.16
rxn01204,2.6.1.19
rxn05126,1.2.1.-
rxn05127,1.2.1.-
rxn06937,6.1.1.17
rxn00085,1.4.1.13
rxn00182,1.4.1.2
rxn00187,6.3.1.2
rxn00189,3.5.1.2
rxn00193,5.1.1.3
rxn00260,2.6.1.1
rxn00340,6.3.1.1
rxn00342,3.5.1.1
rxn00347,3.5.1.38
rxn00416,6.3.5.4
rxn12822,1.4.7.1
rxn03975,1.5.1.29
rxn00086,1.8.1.7
rxn00205,1.11.1.9
rxn00350,2.3.2.2
rxn00351,6.3.2.3
rxn00646,6.3.2.2
rxn01403,6.3.1.8
rxn01015,5.3.1.22
rxn00066,1.11.1.1
rxn00611,1.1.1.8
rxn00612,1.1.1.94
rxn00614,1.1.3.21
rxn00615,2.7.1.30
rxn00616,1.1.99.5
rxn00762,1.1.1.6
rxn01073,3.1.4.2
rxn05158,Undetermined
rxn05578,Undetermined
rxn08556,1.1.99.5
rxn08557,1.1.99.5
rxn08558,1.1.99.5
rxn08669,3.1.4.46
rxn00763,1.1.1.1
rxn01102,2.7.1.31
rxn01286,1.2.1.3
rxn08083,2.3.1.51
rxn08084,2.3.1.51
rxn08088,2.3.1.51
rxn08199,3.6.1.26
rxn08200,3.6.1.26
rxn08201,3.6.1.26
rxn08202,3.6.1.26
rxn08203,3.6.1.26
rxn08204,3.6.1.26
rxn08205,3.6.1.26
rxn08299,2.7.1.107
rxn08306,2.7.7.41
rxn08307,2.7.7.41
rxn08308,2.7.7.41
rxn08309,2.7.7.41
rxn08310,2.7.7.41
rxn08311,2.7.7.41
rxn08312,2.7.7.41
rxn08546,2.3.1.15
rxn08547,2.3.1.15
rxn08551,2.3.1.15
rxn09101,3.1.3.27
rxn09102,3.1.3.27
rxn09103,3.1.3.27
rxn09104,3.1.3.27
rxn09105,3.1.3.27
rxn09106,3.1.3.27
rxn09107,3.1.3.27
rxn09108,2.7.8.5
rxn09109,2.7.8.5
rxn09110,2.7.8.5
rxn09111,2.7.8.5
rxn09112,2.7.8.5
rxn09113,2.7.8.5
rxn09114,2.7.8.5
rxn09197,4.1.1.65
rxn09198,4.1.1.65
rxn09199,4.1.1.65
rxn09200,4.1.1.65
rxn09201,4.1.1.65
rxn09202,4.1.1.65
rxn09203,4.1.1.65
rxn09205,2.7.8.8
rxn09206,2.7.8.8
rxn09207,2.7.8.8
rxn09208,2.7.8.8
rxn09209,2.7.8.8
rxn09210,2.7.8.8
rxn09211,2.7.8.8
rxn10202,2.3.1.15
rxn10203,2.3.1.15
rxn10204,2.3.1.15
rxn10205,2.3.1.15
rxn10206,2.3.1.15
rxn10211,2.3.1.51
rxn10212,2.3.1.51
rxn10213,2.3.1.51
rxn10214,2.3.1.51
rxn10215,2.3.1.51
rxn10220,2.7.7.41
rxn10221,2.7.7.41
rxn10226,2.7.8.8
rxn10227,2.7.8.8
rxn10232,4.1.1.65
rxn10233,4.1.1.65
rxn10253,2.7.1.107
rxn10254,2.7.1.107
rxn10259,2.7.8.5
rxn10260,2.7.8.5
rxn10265,3.1.3.27
rxn10266,3.1.3.27
rxn10336,Undetermined
rxn10337,Undetermined
rxn10338,Undetermined
rxn06377,1.4.4.2
rxn06493,1.8.1.4
rxn06600,2.1.2.10
rxn09296,Undetermined
rxn05740,2.4.1.1
rxn08126,2.4.1.25
rxn08127,2.4.1.25
rxn08128,2.4.1.25
rxn08129,2.4.1.25
rxn08615,2.4.1.21
rxn08941,Undetermined
rxn08942,Undetermined
rxn08943,Undetermined
rxn00324,1.1.1.79
rxn00333,1.1.3.15
rxn00512,1.1.1.26
rxn00979,1.2.1.21
rxn00980,3.1.3.18
rxn01011,1.1.1.26
rxn01013,1.1.1.79
rxn00459,4.2.1.11
rxn00549,3.1.3.11
rxn00551,2.7.1.90
rxn00779,1.2.1.9
rxn00781,1.2.1.12
rxn00782,1.2.1.12
rxn01100,2.7.2.3
rxn01106,5.4.2.1
rxn01343,2.7.1.11
rxn01977,5.1.3.15
rxn00330,2.3.3.9
rxn00336,4.1.3.1
rxn00029,4.2.1.24
rxn00060,2.5.1.61
rxn00224,4.99.1.1
rxn00599,2.3.1.37
rxn01629,5.4.3.8
rxn02056,4.99.1.4
rxn02264,4.2.1.75
rxn02287,2.1.1.107
rxn02288,4.1.1.37
rxn02303,1.3.3.3
rxn02304,1.3.3.4
rxn02774,1.3.1.76
rxn06591,1.2.1.70
rxn00545,2.7.1.11
rxn03886,1.1.1.140
rxn05563,Undetermined
rxn10187,Undetermined
rxn00789,2.4.2.17
rxn00863,1.1.1.23
rxn02159,1.1.1.23
rxn02160,3.1.3.15
rxn02320,2.6.1.9
rxn02473,4.2.1.19
rxn02834,3.6.1.31
rxn02835,3.5.4.19
rxn03135,Undetermined
rxn00375,3.5.1.68
rxn00867,4.3.1.3
rxn01640,3.5.3.13
rxn01641,2.1.2.5
rxn01642,3.5.2.7
rxn02085,4.2.1.49
rxn00137,3.1.3.7
rxn00361,2.7.1.25
rxn00379,2.7.7.4
rxn00623,1.8.1.2
rxn05153,Undetermined
rxn05176,Undetermined
rxn05239,1.8.4.8
rxn05256,1.8.4.10
rxn05651,TC-2.A.53
rxn05902,1.8.7.1
rxn05937,1.18.1.2
rxn09240,2.7.7.4
rxn11934,1.8.99.2
rxn00501,1.2.1.18
rxn00879,1.1.1.18
rxn00880,1.13.99.1
rxn01176,4.1.2.29
rxn02007,4.2.1.44
rxn03932,2.7.1.92
rxn05593,Undetermined
rxn12146,Undetermined
rxn12147,Undetermined
rxn00676,2.3.1.16
rxn01575,2.6.1.42
rxn02268,1.3.99.2
rxn02270,1.3.99.3
rxn02933,1.1.1.35
rxn02934,4.2.1.17
rxn03239,1.1.1.35
rxn03242,1.1.1.35
rxn03244,1.1.1.35
rxn03246,1.1.1.35
rxn03249,1.1.1.35
rxn06335,2.3.1.168
rxn07434,1.2.4.4
rxn07435,1.2.4.4
rxn05293,Undetermined
rxn08352,Undetermined
rxn08756,Undetermined
rxn00295,5.1.3.7
rxn01117,5.3.1.13
rxn02331,2.5.1.55
rxn02404,3.1.3.45
rxn02405,2.7.7.38
rxn03130,3.6.1.-
rxn03146,3.5.1.-
rxn03159,2.4.1.182
rxn03181,2.7.1.130
rxn03182,2.-.-.-
rxn03439,2.-.-.-
rxn06723,2.3.1.-
rxn06729,2.3.1.129
rxn06848,2.3.1.-
rxn06865,2.3.1.-
rxn01289,1.1.1.46
rxn01292,5.3.1.4
rxn01633,4.2.1.43
rxn01763,2.7.1.16
rxn01828,4.2.1.25
rxn01830,3.1.1.15
rxn05500,Undetermined
rxn01911,1.1.1.130
rxn01912,1.1.1.130
rxn04082,5.1.3.4
rxn01615,1.1.1.77
rxn01620,4.1.2.17
rxn02263,5.3.1.25
rxn02319,2.7.1.51
rxn01621,4.1.2.19
rxn01761,5.3.1.14
rxn02161,2.7.1.5
rxn05598,Undetermined
rxn05646,Undetermined
rxn05602,Undetermined
rxn00355,2.7.7.10
rxn00787,4.1.2.40
rxn00808,2.7.1.6
rxn00816,3.2.1.108
rxn01171,5.1.3.3
rxn02318,5.3.1.26
rxn02332,3.2.1.85
rxn05162,Undetermined
rxn10169,Undetermined
rxn10865,Undetermined
rxn00290,2.8.3.5
rxn00804,1.4.1.9
rxn00806,2.6.1.6
rxn00988,6.2.1.16
rxn00991,4.1.3.4
rxn01504,4.2.1.18
rxn02866,1.3.99.3
rxn02889,6.4.1.4
rxn06586,2.3.1.168
rxn07432,1.2.4.4
rxn07433,1.2.4.4
rxn03511,5.1.3.20
rxn03916,2.7.-.-
rxn03917,5.-.-.-
rxn03918,2.7.-.-
rxn03919,3.1.-.-
rxn08583,2.4.1.-
rxn08618,2.4.1.-
rxn08619,2.4.1.-
rxn08620,2.4.1.-
rxn08708,2.7.-.-
rxn08709,Undetermined
rxn08710,2.4.1.-
rxn08711,2.4.1.-
rxn08712,2.4.1.-
rxn08713,2.4.1.56
rxn08954,Undetermined
rxn00202,2.3.3.14
rxn00510,1.5.1.7
rxn01423,2.6.1.39
rxn01663,1.5.1.10
rxn02466,4.2.1.36
rxn03034,4.2.1.36
rxn04656,Undetermined
rxn04657,2.7.2.-
rxn04658,1.2.1.-
rxn04659,2.6.1.-
rxn04660,3.5.1.-
rxn00313,4.1.1.20
rxn01644,4.2.1.52
rxn01972,3.5.1.47
rxn01973,3.5.1.18
rxn01974,5.1.1.7
rxn01991,1.4.1.16
rxn02929,1.3.1.26
rxn03030,2.3.1.89
rxn03031,2.3.1.117
rxn03086,2.6.1.-
rxn03087,2.6.1.17
rxn07441,2.6.1.83
rxn00312,1.13.12.2
rxn00322,4.1.1.18
rxn00511,1.5.1.8
rxn01578,1.5.1.1
rxn01579,1.5.1.1
rxn01580,1.5.3.7
rxn01630,3.5.1.30
rxn01662,1.5.1.9
rxn10148,Undetermined
rxn13782,Undetermined
rxn13783,Undetermined
rxn13784,Undetermined
rxn12206,Undetermined
rxn12432,Undetermined
rxn00022,3.2.1.20
rxn00575,3.2.1.20
rxn00607,3.2.1.122
rxn01132,2.4.1.8
rxn01967,5.4.2.6
rxn05607,Undetermined
rxn05608,Undetermined
rxn05746,Undetermined
rxn08933,Undetermined
rxn08934,Undetermined
rxn08935,Undetermined
rxn08936,Undetermined
rxn09989,Undetermined
rxn10174,Undetermined
rxn00546,1.1.1.17
rxn05617,Undetermined
rxn00559,5.3.1.8
rxn00640,2.7.7.22
rxn00641,2.7.7.13
rxn00975,2.7.1.1
rxn01329,5.4.2.8
rxn05610,Undetermined
rxn05612,Undetermined
rxn01258,5.4.4.2
rxn02831,6.2.1.26
rxn02832,4.2.1.-
rxn11702,2.2.1.9
rxn11703,4.2.99.20
rxn02011,6.3.2.13
rxn00126,2.5.1.6
rxn00141,3.3.1.1
rxn00423,2.3.1.30
rxn00452,2.1.1.10
rxn00566,4.4.1.1
rxn00649,2.5.1.47
rxn00693,2.1.1.13
rxn00740,2.5.1.48
rxn00742,4.4.1.1
rxn00910,1.5.1.20
rxn00950,4.4.1.8
rxn00952,2.5.1.49
rxn00953,4.2.1.22
rxn01300,2.7.1.39
rxn01302,1.1.1.3
rxn01303,2.3.1.31
rxn01304,2.3.1.46
rxn01816,2.5.1.48
rxn02302,2.5.1.49
rxn03052,2.1.1.14
rxn04954,1.5.1.20
rxn05733,4.2.99.8
rxn05957,2.5.1.48
rxn06078,2.5.1.49
rxn11944,2.1.1.-
rxn01022,2.4.2.28
rxn02894,2.7.1.100
rxn03057,5.3.1.23
rxn05092,1.13.11.54
rxn05104,4.2.1.109
rxn05108,2.6.1.5
rxn00289,4.1.3.30
rxn00679,2.3.3.5
rxn03060,4.2.1.79
rxn03061,4.2.1.99
rxn00748,4.2.3.3
rxn01053,1.2.1.22
rxn01274,3.1.2.6
rxn01618,1.2.1.49
rxn01834,4.4.1.5
rxn00829,4.1.1.33
rxn00830,5.3.3.2
rxn01454,2.3.3.10
rxn01501,1.1.1.34
rxn01607,2.7.1.36
rxn02322,2.7.4.2
rxn03843,2.5.1.-
rxn03907,2.7.7.60
rxn03908,2.7.1.148
rxn03909,2.2.1.7
rxn03910,4.6.1.12
rxn03958,1.1.1.267
rxn04113,1.17.1.2
rxn04308,2.5.1.31
rxn04996,1.17.1.2
rxn00114,2.7.2.2
rxn00173,2.3.1.8
rxn00239,2.7.4.8
rxn00747,5.3.1.1
rxn01509,2.7.4.8
rxn09562,2.7.4.8
rxn02113,4.1.1.5
rxn09167,1.2.2.2
rxn00214,5.1.3.2
rxn00178,2.3.1.9
rxn00874,2.3.1.9
rxn00947,6.2.1.3
rxn02680,2.3.1.16
rxn02804,2.3.1.16
rxn03243,2.3.1.16
rxn03248,2.3.1.16
rxn06510,2.3.1.16
rxn00262,1.4.3.2
rxn00077,2.7.1.23
rxn00105,2.7.7.1
rxn00138,6.3.1.5
rxn00190,6.3.5.1
rxn00338,1.4.3.16
rxn00478,1.13.11.11
rxn00938,3.5.1.19
rxn00941,2.4.2.12
rxn01265,2.4.2.11
rxn01437,3.5.1.9
rxn01438,1.14.13.9
rxn01646,2.4.2.1
rxn01670,3.1.3.5
rxn01671,2.7.1.22
rxn01927,1.13.11.6
rxn01930,3.7.1.3
rxn02155,2.7.7.1
rxn02402,2.4.2.19
rxn02988,Undetermined
rxn02989,Undetermined
rxn05117,1.4.1.21
rxn05119,1.4.1.21
rxn10060,2.7.1.23
rxn10181,Undetermined
rxn00568,1.7.1.4
rxn00569,1.7.1.4
rxn03978,1.7.2.2
rxn05627,Undetermined
rxn05893,1.7.7.1
rxn10120,1.7.99.4
rxn10121,Undetermined
rxn06874,1.18.6.1
rxn01519,3.6.1.19
rxn00691,3.5.1.10
rxn01654,4.3.1.4
rxn00056,1.16.3.1
rxn00785,2.2.1.1
rxn01116,5.1.3.1
rxn01200,2.2.1.1
rxn01333,2.2.1.2
rxn01975,1.1.1.49
rxn06077,1.8.4.13
rxn00461,2.5.1.7
rxn00851,6.3.2.4
rxn02008,6.3.2.9
rxn02285,1.1.1.158
rxn02286,6.3.2.8
rxn03408,2.4.1.227
rxn03904,2.7.8.13
rxn10199,Undetermined
rxn03164,6.3.2.10
rxn00490,4.2.1.51
rxn00493,2.6.1.1
rxn00525,1.3.1.43
rxn00526,1.3.1.43
rxn00527,2.6.1.1
rxn01268,1.3.1.12
rxn01269,1.3.1.13
rxn01270,2.6.1.57
rxn01000,4.2.1.51
rxn04597,1.14.12.19
rxn04599,1.3.1.-
rxn10133,Undetermined
rxn00001,3.6.1.1
rxn00083,1.6.1.1
rxn00743,3.1.3.1
rxn02449,3.6.1.11
rxn05312,TC-2.A.20
rxn05313,TC-2.A.58
rxn11268,Undetermined
rxn00537,3.11.1.1
rxn05470,Undetermined
rxn05493,TC-2.A.1.6
rxn08655,Undetermined
rxn08656,Undetermined
rxn08657,Undetermined
rxn00127,4.1.1.50
rxn00405,4.1.1.19
rxn00470,4.1.1.17
rxn00853,3.5.1.53
rxn00858,3.5.3.11
rxn01021,3.2.2.9
rxn01029,3.5.3.12
rxn01406,2.5.1.16
rxn01851,1.2.1.3
rxn05687,Undetermined
rxn10182,Undetermined
rxn00992,1.1.1.30
rxn05484,Undetermined
rxn05683,Undetermined
rxn12405,Undetermined
rxn01486,2.5.1.29
rxn03891,2.5.1.30
rxn03892,2.5.1.33
rxn05287,Undetermined
rxn12008,Undetermined
rxn05206,1.A.1
rxn05221,Undetermined
rxn05638,Undetermined
rxn08291,1.4.99.1
rxn10945,Undetermined
rxn00179,2.7.2.11
rxn00184,1.4.1.3
rxn00929,1.5.1.2
rxn00931,1.5.1.2
rxn02373,1.2.1.41
rxn00183,1.5.1.12
rxn00196,1.2.1.26
rxn00932,1.14.11.2
rxn01635,3.5.4.22
rxn02359,1.5.1.12
rxn02360,5.1.1.8
rxn02946,1.4.3.3
rxn09188,1.5.99.8
rxn00670,2.3.1.8
rxn00769,4.2.1.30
rxn01879,1.1.1.21
rxn00602,5.4.99.2
rxn00672,4.1.1.41
rxn01355,6.4.1.3
rxn01996,5.1.99.1
rxn00006,1.11.1.6
rxn00175,6.2.1.1
rxn00669,6.2.1.13
rxn00650,3.4.11.2
rxn09953,Undetermined
rxn12633,Undetermined
rxn12634,Undetermined
rxn12635,Undetermined
rxn12636,Undetermined
rxn12637,Undetermined
rxn12638,Undetermined
rxn12639,Undetermined
rxn12640,Undetermined
rxn12641,Undetermined
rxn12642,Undetermined
rxn12643,Undetermined
rxn12644,Undetermined
rxn12645,Undetermined
rxn12646,Undetermined
rxn12844,3.4.11.2
rxn12845,3.4.11.2
rxn12846,3.4.11.2
rxn12847,3.4.11.2
rxn00598,2.3.1.16
rxn01192,1.13.11.3
rxn02369,5.5.1.2
rxn02483,4.1.1.44
rxn00082,1.14.13.39
rxn00302,3.5.4.16
rxn00400,1.14.13.39
rxn01313,1.5.1.34
rxn01314,1.5.1.34
rxn03174,3.5.4.16
rxn03236,4.2.1.96
rxn03419,3.5.4.16
rxn03421,3.5.4.16
rxn04989,1.14.16.1
rxn00097,2.7.4.3
rxn00131,3.2.2.4
rxn00132,3.1.3.5
rxn00134,2.7.1.20
rxn00139,2.4.2.7
rxn00237,2.7.4.6
rxn00800,4.3.2.2
rxn00831,3.1.3.5
rxn00834,1.1.1.205
rxn00835,2.7.1.73
rxn00836,2.4.2.8
rxn00837,1.7.1.7
rxn00838,6.3.4.4
rxn00839,2.7.4.6
rxn00913,3.1.3.5
rxn00914,2.7.1.73
rxn00915,2.4.2.7
rxn00916,6.3.4.1
rxn00917,6.3.5.2
rxn00926,3.5.4.2
rxn00927,3.2.2.1
rxn01127,2.7.4.3
rxn01137,3.5.4.4
rxn01138,2.4.2.1
rxn01225,3.5.4.3
rxn01226,3.2.2.1
rxn01299,3.2.2.1
rxn01352,3.1.5.1
rxn01353,2.7.4.6
rxn01358,2.4.2.1
rxn01444,2.7.1.113
rxn01445,3.1.3.5
rxn01507,3.1.3.5
rxn01508,2.7.1.76
rxn01544,2.4.2.8
rxn01545,3.2.2.1
rxn01548,2.4.2.1
rxn01649,2.4.2.1
rxn01858,3.5.4.4
rxn01961,3.1.3.5
rxn01985,2.4.2.1
rxn02400,3.1.3.5
rxn10052,2.7.4.3
rxn01297,1.17.1.4
rxn01298,1.17.3.2
rxn01522,1.17.1.4
rxn01523,1.7.3.3
rxn01524,1.17.3.2
rxn05197,TC-2.A.40
rxn05201,Undetermined
rxn05202,TC-2.A.40
rxn05682,Undetermined
rxn09657,Undetermined
rxn00124,2.7.1.35
rxn00209,1.4.3.5
rxn01331,1.2.1.72
rxn01396,2.7.1.35
rxn02939,1.1.1.290
rxn03445,2.6.1.52
rxn03951,1.1.1.262
rxn04070,2.6.99.2
rxn05144,Undetermined
rxn01252,1.1.3.12
rxn00117,2.7.4.6
rxn00118,2.7.4.10
rxn00362,3.2.2.10
rxn00363,3.1.3.5
rxn00364,2.7.4.14
rxn00365,2.7.1.48
rxn00368,2.7.1.48
rxn00369,2.7.1.48
rxn00407,3.5.4.13
rxn00408,3.6.1.5
rxn00409,2.7.4.6
rxn00410,6.3.4.2
rxn00412,6.3.4.2
rxn00515,2.7.4.6
rxn00707,2.7.1.48
rxn00708,3.1.3.5
rxn00709,2.7.1.48
rxn00711,2.4.2.9
rxn00712,2.7.1.48
rxn00713,2.7.1.48
rxn00715,2.7.1.48
rxn00717,3.5.4.1
rxn01128,2.7.1.48
rxn01129,2.7.1.48
rxn01143,2.7.1.21
rxn01145,3.1.3.5
rxn01146,2.4.2.4
rxn01218,3.1.3.5
rxn01219,2.7.4.14
rxn01366,2.4.2.3
rxn01368,3.5.4.5
rxn01370,2.7.1.48
rxn01510,2.7.1.48
rxn01512,2.7.4.6
rxn01513,2.7.4.9
rxn01515,2.7.1.48
rxn01516,2.7.1.48
rxn01517,2.7.4.4
rxn01518,2.7.1.21
rxn01520,2.1.1.45
rxn01647,2.4.2.1
rxn01648,2.4.2.2
rxn01672,3.5.4.13
rxn01673,2.7.4.6
rxn01674,2.7.1.48
rxn01678,2.7.4.6
rxn01679,2.7.1.48
rxn01705,2.7.1.48
rxn01706,2.7.1.48
rxn01799,2.4.2.1
rxn01800,3.5.4.5
rxn02522,3.1.4.16
rxn02762,3.1.4.16
rxn04464,2.1.1.148
rxn05289,1.8.1.9
rxn00654,3.5.1.6
rxn00720,1.3.1.2
rxn01626,3.5.2.2
rxn00165,4.3.1.17
rxn00166,4.3.1.18
rxn00272,2.6.1.44
rxn00278,1.4.1.1
rxn00656,2.6.1.18
rxn00849,2.6.1.21
rxn01285,4.1.1.73
rxn01847,1.1.1.93
rxn04143,1.1.1.93
rxn05207,Undetermined
rxn05208,Undetermined
rxn05604,Undetermined
rxn10152,Undetermined
rxn10153,Undetermined
rxn10154,Undetermined
rxn00147,2.7.9.2
rxn00148,2.7.1.40
rxn00151,2.7.9.1
rxn00159,1.1.1.38
rxn00160,1.1.1.83
rxn00161,1.1.1.38
rxn00162,4.1.1.3
rxn00247,4.1.1.49
rxn00250,6.4.1.1
rxn00305,4.1.1.32
rxn01103,3.6.1.7
rxn00011,1.2.4.1
rxn00152,1.2.3.3
rxn00172,6.2.1.13
rxn00227,3.6.1.7
rxn00506,1.2.1.3
rxn00544,4.1.1.1
rxn01871,2.3.1.12
rxn02342,1.2.4.1
rxn05938,1.2.7.1
rxn01188,4.2.1.-
rxn08971,1.6.5.3
rxn08975,1.6.5.3
rxn08976,1.6.5.3
rxn08977,1.6.99.6
rxn08978,1.6.99.6
rxn08979,1.6.99.6
rxn10122,1.6.5.3
rxn10123,1.6.5.3
rxn10124,1.6.5.3
rxn00145,1.1.2.3
rxn00146,1.1.2.4
rxn00629,1.1.1.11
rxn00634,1.1.1.14
rxn01199,2.7.1.17
rxn05039,3.1.3.-
rxn00048,2.5.1.9
rxn00122,2.7.7.2
rxn00300,3.5.4.25
rxn00392,2.7.1.26
rxn02474,1.1.1.193
rxn02475,3.5.4.26
rxn03080,2.5.1.9
rxn05040,Undetermined
rxn05231,1.17.4.1
rxn05232,1.17.4.2
rxn05233,1.17.4.1
rxn05234,1.17.4.2
rxn05235,1.17.4.2
rxn05236,1.17.4.2
rxn06075,1.17.4.1
rxn06076,1.17.4.1
rxn00420,3.1.3.3
rxn01101,1.1.1.95
rxn02914,2.6.1.52
rxn00422,2.6.1.51
rxn01211,3.5.4.9
rxn00293,2.7.7.23
rxn00297,5.1.3.14
rxn00897,5.1.3.8
rxn01316,2.5.1.56
rxn01322,4.1.3.3
rxn01485,5.4.2.10
rxn01506,5.1.3.9
rxn03638,2.3.1.157
rxn02046,3.1.3.3
rxn05209,Undetermined
rxn00242,3.1.7.2
rxn00303,2.7.6.5
rxn10113,Undetermined
rxn10126,Undetermined
rxn10806,Undetermined
rxn00213,2.7.7.9
rxn00216,2.7.1.1
rxn00695,2.7.7.27
rxn00704,5.4.2.2
rxn01169,2.7.1.1
rxn00547,2.7.1.1
rxn00577,2.4.1.7
rxn01737,3.2.1.26
rxn02760,3.2.1.26
rxn00199,1.1.1.42
rxn00248,1.1.1.37
rxn00256,2.3.3.1
rxn00257,2.3.3.8
rxn00265,4.1.3.6
rxn00285,6.2.1.5
rxn00288,1.3.99.1
rxn00441,1.2.4.2
rxn00505,1.1.1.41
rxn00799,4.2.1.2
rxn00935,1.1.99.16
rxn00973,4.2.1.3
rxn00974,4.2.1.3
rxn01241,1.8.1.4
rxn01387,1.1.1.42
rxn01388,4.2.1.3
rxn01872,2.3.1.61
rxn02376,1.2.4.2
rxn05939,1.2.7.3
rxn08527,1.3.99.1
rxn08528,1.3.99.1
rxn08900,1.1.99.16
rxn08901,1.1.99.16
rxn09272,1.3.99.1
rxn00621,2.7.7.39
rxn03901,3.6.1.27
rxn08040,Undetermined
rxn10192,2.7.8.12
rxn10193,2.4.1.52
rxn10194,3.6.3.40
rxn10195,3.6.3.40
rxn10196,3.6.3.40
rxn10197,Undetermined
rxn10273,Undetermined
rxn10274,Undetermined
rxn10275,Undetermined
rxn10282,Undetermined
rxn10283,Undetermined
rxn10284,Undetermined
rxn10291,2.7.8.12
rxn10292,2.7.8.12
rxn10293,2.7.8.12
rxn10300,2.4.1.52
rxn10301,2.4.1.52
rxn10302,2.4.1.52
rxn10309,2.7.8.-
rxn10310,2.7.8.-
rxn10311,2.7.8.-
rxn10318,Undetermined
rxn10319,Undetermined
rxn10320,Undetermined
rxn00058,1.9.3.1
rxn05528,TC-3.A.3
rxn10043,"1.9.3.1,"
rxn10481,Undetermined
rxn00245,4.2.1.32
rxn00269,1.4.3.3
rxn00438,2.7.4.16
rxn00440,2.7.6.2
rxn01537,3.5.99.2
rxn01538,2.7.1.89
rxn02305,2.5.1.3
rxn02484,2.7.1.49
rxn03075,2.7.1.50
